
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         12 K
Secure System                  140 Services                   0     48,212 K
Registry                       184 Services                   0     26,488 K
smss.exe                       644 Services                   0        112 K
csrss.exe                      756 Services                   0      2,428 K
wininit.exe                   1064 Services                   0          4 K
csrss.exe                     1084 Console                    1      2,544 K
winlogon.exe                  1164 Console                    1      4,696 K
services.exe                  1184 Services                   0      5,884 K
LsaIso.exe                    1228 Services                   0        708 K
lsass.exe                     1240 Services                   0     15,680 K
svchost.exe                   1376 Services                   0     28,556 K
fontdrvhost.exe               1404 Services                   0         68 K
fontdrvhost.exe               1412 Console                    1      4,368 K
WUDFHost.exe                  1492 Services                   0      1,556 K
svchost.exe                   1540 Services                   0     14,108 K
svchost.exe                   1592 Services                   0      3,660 K
svchost.exe                   1700 Services                   0        616 K
svchost.exe                   1708 Services                   0      1,716 K
svchost.exe                   1736 Services                   0      2,616 K
svchost.exe                   1744 Services                   0        552 K
svchost.exe                   1756 Services                   0      2,036 K
svchost.exe                   1764 Services                   0      1,792 K
svchost.exe                   1792 Services                   0      9,124 K
svchost.exe                   1936 Services                   0      4,624 K
svchost.exe                   1944 Services                   0      4,248 K
svchost.exe                   2016 Services                   0     13,292 K
svchost.exe                   2024 Services                   0      5,616 K
IntelCpHDCPSvc.exe            1556 Services                   0      1,036 K
svchost.exe                   1856 Services                   0      3,864 K
svchost.exe                   2148 Services                   0      1,360 K
svchost.exe                   2256 Services                   0      4,336 K
WUDFHost.exe                  2272 Services                   0      1,944 K
svchost.exe                   2280 Services                   0      3,684 K
svchost.exe                   2444 Services                   0      5,456 K
dwm.exe                       2576 Console                    1    148,892 K
svchost.exe                   2628 Services                   0      8,084 K
svchost.exe                   2680 Services                   0      5,268 K
svchost.exe                   2740 Services                   0      3,472 K
svchost.exe                   2976 Services                   0      5,316 K
svchost.exe                   3036 Services                   0      2,100 K
svchost.exe                   2536 Services                   0      1,480 K
svchost.exe                   2840 Services                   0     20,544 K
svchost.exe                   3284 Services                   0      5,496 K
vmms.exe                      3332 Services                   0     23,464 K
svchost.exe                   3452 Services                   0        980 K
svchost.exe                   3552 Services                   0      2,764 K
svchost.exe                   3560 Services                   0      1,700 K
svchost.exe                   3612 Services                   0      7,280 K
svchost.exe                   3696 Services                   0      2,972 K
svchost.exe                   3704 Services                   0      5,464 K
svchost.exe                   3716 Services                   0      1,116 K
Memory Compression            3832 Services                   0     72,060 K
svchost.exe                   3916 Services                   0      4,044 K
svchost.exe                   3952 Services                   0      7,408 K
svchost.exe                   3964 Services                   0      2,880 K
svchost.exe                   3972 Services                   0      3,500 K
svchost.exe                   3856 Services                   0      5,756 K
svchost.exe                   4192 Services                   0      2,804 K
svchost.exe                   4228 Services                   0     15,132 K
svchost.exe                   4424 Services                   0      3,548 K
svchost.exe                   4520 Services                   0      8,988 K
svchost.exe                   4560 Services                   0      2,648 K
svchost.exe                   4844 Services                   0      2,288 K
svchost.exe                   4972 Services                   0     10,740 K
WUDFHost.exe                  4984 Services                   0      6,516 K
svchost.exe                   5036 Services                   0      2,616 K
spoolsv.exe                   5096 Services                   0      3,492 K
wlanext.exe                   5128 Services                   0      1,896 K
conhost.exe                   5148 Services                   0        712 K
svchost.exe                   5204 Services                   0      2,424 K
DellPairService.exe           5300 Services                   0      6,992 K
Dell.TechHub.exe              5312 Services                   0      8,640 K
svchost.exe                   5332 Services                   0     19,624 K
svchost.exe                   5340 Services                   0     16,728 K
IntelAudioService.exe         5360 Services                   0      4,084 K
svchost.exe                   5368 Services                   0      5,092 K
ipfsvc.exe                    5376 Services                   0        912 K
Dell.TrustedDevice.Servic     5396 Services                   0     17,052 K
svchost.exe                   5408 Services                   0      7,932 K
OneApp.IGCC.WinService.ex     5428 Services                   0      9,256 K
jhi_service.exe               5456 Services                   0        656 K
ipf_uf.exe                    5496 Services                   0      1,604 K
openvpnserv.exe               5592 Services                   0      1,988 K
RstMwService.exe              5720 Services                   0        684 K
RtkAudUService64.exe          5756 Services                   0      4,000 K
